DATE,A,B,C,B_D_L3,C_Q_L0,A_D_L0,pred_CC,E_extract
31/03/2001,96.60174629,325.3333333,1001.89934,5,-3.569017073,0.486790652,-0.000200346,
30/06/2001,99.2086427,328,972.83554,4.333333333,-2.900870261,2.606896403,4.42E-05,
30/09/2001,100.444983,330.3333333,951.78934,5.666666667,-2.163387246,1.236340281,-9.12E-05,
31/12/2001,102.5437529,334.3333333,961.81134,4.333333333,1.052964094,2.098769942,0.000141956,
31/03/2002,103.7114004,335,954.5955,2.666666667,-0.750234448,1.167647455,2.35E-05,
30/06/2002,105.2786045,340.3333333,952.69132,2.333333333,-0.199475066,1.567204098,9.01E-05,
30/09/2002,109.516403,341.6666667,948.5823,4,-0.431306543,4.237798522,0.000300758,
31/12/2002,112.7797901,343,939.0614,0.666666667,-1.003697834,3.263387123,0.000262092,
31/03/2003,115.2706679,345.3333333,943.0702,5.333333333,0.426894344,2.49087774,0.000133563,
30/06/2003,117.1620388,349.3333333,945.5757,1.333333333,0.265674814,1.891370933,0.000161615,
30/09/2003,119.420572,352.6666667,936.15502,1.333333333,-0.996290408,2.258533163,0.000150172,
31/12/2003,121.7092493,356.6666667,915.71014,2.333333333,-2.183920351,2.288677387,8.60E-05,
31/03/2004,125.8571495,358.3333333,892.75976,4,-2.506293094,4.147900121,0.000215067,
30/06/2004,127.3933598,364.3333333,860.8898,3.333333333,-3.569824877,1.536210288,-6.09E-05,
30/09/2004,128.9452896,368.6666667,836.43612,4,-2.840512224,1.551929842,-4.76E-05,
31/12/2004,132.6414236,373.6666667,830.8238,1.666666667,-0.67098011,3.696133963,0.000293208,
31/03/2005,135.40231,375.6666667,827.01544,6,-0.458383595,2.760886485,0.000111429,
30/06/2005,134.6027705,380.3333333,854.3755,4.333333333,3.3082889,-0.799539567,-5.38E-05,
30/09/2005,135.4829284,386.3333333,872.21466,5,2.08797654,0.88015795,4.76E-05,
31/12/2005,137.4891864,389.6666667,901.07802,2,3.309203723,2.006257972,0.000270361,
31/03/2006,140.4448413,395.6666667,926.43368,4.666666667,2.813925036,2.955654937,0.00028229,
30/06/2006,140.0138848,398.6666667,952.69132,6,2.834270878,-0.430956567,-7.41E-05,
30/09/2006,141.2077247,401.6666667,957.50188,3.333333333,0.504944246,1.193839901,5.73E-05,
31/12/2006,143.9744337,408,951.28824,6,-0.648942851,2.766709,0.000104917,0.001302585
31/03/2007,145.0378805,420.6666667,913.30486,3,-3.992836072,1.063446839,-0.000114557,0.000783298
30/06/2007,146.4074634,415.6666667,872.21466,3,-4.499067267,1.369582918,-0.00010383,0.000692557
30/09/2007,147.9868662,422,852.57154,6.333333333,-2.252096978,1.579402726,-7.67E-05,5.75E-05
31/12/2007,149.321763,423.3333333,827.41632,12.66666667,-2.950511344,1.334896862,-0.000271639,0.000251796
31/03/2008,151.2652233,439.6666667,784.7226,-5,-5.159883721,1.943460266,0.000110654,0.000548317
30/06/2008,149.5889086,432.6666667,820.40092,6.333333333,4.546615581,-1.676314653,-0.000138273,0.00038506
30/09/2008,150.107282,434,927.43588,1.333333333,13.04666504,0.518373331,0.00050366,0.000994532
31/12/2008,148.305887,435,1099.81428,16.33333333,18.58655716,-1.801394987,0.000141229,0.001524725
31/03/2009,149.0743796,428.6666667,1363.4931,-7,23.97484964,0.768492606,0.001124764,0.002987925
30/06/2009,144.0818089,437,1547.3968,1.333333333,13.48768835,-4.992570642,-1.13E-05,0.002072591
30/09/2009,143.8292761,436.6666667,1602.31736,1,3.549222798,-0.252532879,8.44E-05,0.002120846
31/12/2009,142.932963,438,1610.93628,-6.333333333,0.537903428,-0.896313095,7.90E-05,0.002253422
31/03/2010,145.5897483,440.6666667,1581.4716,8.333333333,-1.829040687,2.656785343,-3.06E-06,0.001599603
30/06/2010,143.9205979,443.6666667,1500.69428,-0.333333333,-5.107731305,-1.669150396,-0.000342885,0.00092264
30/09/2010,142.1263623,445.3333333,1460.7065,1.333333333,-2.664618672,-1.794235654,-0.000302524,0.001232417
31/12/2010,142.3357872,448,1455.6955,2.666666667,-0.343053173,0.209424986,-5.38E-05,0.0005805
31/03/2011,142.7324266,453,1464.51486,3,0.605851979,0.39663932,-8.15E-06,0.001175539
30/06/2011,140.0298269,454.3333333,1504.8033,1.666666667,2.750975159,-2.70259968,-0.000196735,0.000647439
30/09/2011,138.6395815,454.6666667,1579.36698,2.666666667,4.955044955,-1.390245415,-1.13E-05,0.000455563
31/12/2011,138.8688052,456.6666667,1602.41758,5,1.45948347,0.229223712,-3.85E-05,0.00014166
31/03/2012,136.2877491,456.3333333,1612.23914,1.333333333,0.612921383,-2.581056084,-0.000256727,0.000204558
30/06/2012,134.4520496,461,1589.28876,0.333333333,-1.423509666,-1.835699509,-0.000237492,-0.000156926
30/09/2012,133.8057633,463,1578.9661,2,-0.649514441,-0.64628624,-0.000132345,-0.000223398
31/12/2012,133.7251183,462,1575.75906,-0.333333333,-0.203110124,-0.080645031,-7.66E-06,-0.000547293
31/03/2013,134.4998527,459,1545.09174,4.666666667,-1.946193475,0.77473442,-0.000104689,-0.000672526
30/06/2013,130.4377181,471,1490.67228,2,-3.522086009,-4.062134585,-0.000568331,-0.000749391
30/09/2013,128.451874,466,1390.95338,-1,-6.689525346,-1.985844129,-0.00041683,-0.001254951
31/12/2013,130.0663635,466.6666667,1270.58916,-3,-8.653361193,1.61448946,-9.67E-05,-0.001412902
31/03/2014,131.0089489,467.3333333,1189.6114,12,-6.373244991,0.942585465,-0.000421211,-0.001451413
30/06/2014,129.0221849,469.3333333,1084.8815,-5,-8.803706824,-1.986764042,-0.000403557,-0.00177246
30/09/2014,129.5198798,470,978.1472,0.666666667,-9.838337182,0.497694899,-0.000332518,-0.002125294
31/12/2014,127.8466044,476,900.9778,0.666666667,-7.889344262,-1.673275359,-0.000469496,-0.002317496
31/03/2015,127.5178294,478,836.837,2,-7.119021135,-0.328774996,-0.000341879,-0.002257587
30/06/2015,125.6735887,481.3333333,800.15648,0.666666667,-4.383233533,-1.844240771,-0.000355834,-0.002678802
30/09/2015,123.3174,483.6666667,787.32832,6,-1.603206413,-2.356188645,-0.000424455,-0.002795469
31/12/2015,125.2544462,484.6666667,774.39994,2,-1.642057026,1.93704618,7.99E-05,-0.002581464
31/03/2016,128.4156686,488.3333333,767.58498,3.333333333,-0.88003106,3.161222429,0.000195605,
30/06/2016,127.2173226,493.6666667,771.29312,2.333333333,0.483091787,-1.198346075,-0.000151185,
30/09/2016,127.0535145,495,776.40434,1,0.662681913,-0.163808051,-1.42E-05,
31/12/2016,129.3746558,496.6666667,786.52656,3.666666667,1.303730476,2.321141304,0.000188012,
31/03/2017,130.338673,499.6666667,777.40654,5.333333333,-1.159531091,0.964017181,-7.25E-05,
30/06/2017,128.4010577,504.6666667,798.05186,1.333333333,2.65566585,-1.937615297,-0.00011886,
30/09/2017,129.4575585,506.3333333,802.7622,1.666666667,0.590229813,1.056500819,8.55E-05,
31/12/2017,129.1958204,509.3333333,825.21148,3,2.79650437,-0.261738161,9.69E-06,
31/03/2018,129.1697101,512.6666667,851.56934,5,3.194073354,-0.026110234,1.25E-06,
30/06/2018,128.143325,517,896.86878,1.666666667,5.319524538,-1.026385115,6.02E-05,
30/09/2018,128.3148837,522,929.34006,3,3.620516259,0.171558698,8.21E-05,
31/12/2018,128.516484,527.9607111,996.38724,3.333333333,7.214493691,0.20160032,0.000210707,
